Scenario - face_house_1b_LL
Logfile written - 7/3/2006 5:07:00 PM

Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur

1	Picture	fixation	64424	0	1	10793	2	0	next
2	Picture	43	75217	0	1	1328	3	0	next
3	Picture	fixation	76545	0	2	11125	4	0	next
4	Picture	43	87670	0	2	1328	4	0	next
5	Picture	fixation	88998	0	2	11125	4	0	next
6	Picture	43	100123	0	2	1495	3	0	next
7	Picture	fixation	101618	0	1	11125	2	0	next
8	Picture	43	112743	0	1	1328	3	0	next
9	Picture	fixation	114071	0	2	11457	4	0	next
10	Picture	44	125528	0	2	1163	3	0	next
11	Picture	fixation	126691	0	1	10958	3	0	next
12	Picture	41	137649	0	2	1495	3	0	next
13	Picture	fixation	139144	0	1	10959	2	0	next
14	Response	200	141939	-8164	1095
14	Response	200	141939	-8164	1095
14	Picture	43	150103	0	1	1328	3	0	next
15	Picture	fixation	151431	0	2	11291	4	0	next
16	Picture	44	162722	0	2	1993	3	0	next
17	Picture	fixation	164715	0	1	10461	2	0	next
18	Picture	44	175176	0	1	1293	941	0	next
19	Picture	fixation	176469	0	940	11492	942	0	next
20	Picture	42	187961	0	2	996	4	0	next
21	Picture	fixation	188957	0	2	11457	4	0	next
22	Response	201	191937	-8477	940
22	Response	201	193187	-7227	941
22	Picture	44	200414	0	2	997	3	0	next
23	Picture	fixation	201411	0	1	11623	2	0	next
24	Picture	43	213034	0	1	996	2	0	next
25	Picture	fixation	214030	0	1	11457	3	0	next
26	Picture	fixation	225487	0	2	1162	4	0	next
27	Picture	fixation	226649	0	2	10959	4	0	next
28	Picture	44	237608	0	2	1329	3	0	next
29	Picture	fixation	238937	0	1	12121	2	0	next
30	Picture	fixation	251058	0	1	498	2	0	next
31	Picture	fixation	251556	0	1	11291	3	0	next
32	Picture	44	262847	0	2	1162	4	0	next
33	Picture	fixation	264009	0	2	11623	4	0	next
34	Picture	fixation	275632	0	2	997	3	0	next
35	Picture	fixation	276629	0	1	11457	2	0	next
36	Picture	42	288086	0	1	1328	3	0	next
37	Picture	fixation	289414	0	2	11623	4	0	next
38	Response	200	292559	-8478	939
38	Picture	fixation	301037	0	2	1329	3	0	next
39	Picture	fixation	302366	0	1	10294	3	0	next
40	Picture	44	312660	0	2	2159	3	0	next
41	Picture	fixation	314819	0	1	11291	2	0	next
42	Picture	44	326110	0	1	1328	3	0	next
43	Picture	fixation	327438	0	2	10627	4	0	next
44	Picture	43	338065	0	2	1329	3	0	next
45	Picture	fixation	339394	0	1	10792	3	0	next
46	Picture	fixation	350186	0	2	1329	3	0	next
47	Picture	fixation	351515	0	1	11125	2	0	next
48	Picture	43	362640	0	1	1660	3	0	next
49	Picture	fixation	364300	0	2	10959	4	0	next
50	Picture	44	375259	0	2	1328	4	0	next
51	Picture	fixation	376587	0	2	11458	3	0	next
52	Picture	42	388045	0	1	1328	2	0	next
53	Picture	fixation	389373	0	1	10793	2	0	next
54	Response	200	392400	-7766	939
54	Picture	41	400166	0	1	1328	3	0	next
55	Picture	fixation	401494	0	2	11457	4	0	next
56	Response	200	404756	-8195	2
56	Response	200	405681	-7270	938
56	Picture	42	412951	0	2	1329	3	0	next
57	Picture	fixation	414280	0	1	11457	2	0	next
58	Response	200	417713	-8024	3
58	Picture	44	425737	0	1	1328	3	0	next
59	Picture	fixation	427065	0	2	10627	3	0	next
60	Picture	41	437692	0	1	2158	3	0	next
61	Picture	fixation	439850	0	2	10295	4	0	next
62	Response	200	442909	-7236	2
62	Picture	44	450145	0	2	1495	3	0	next
63	Picture	fixation	451640	0	1	10959	2	0	next
64	Picture	41	462599	0	1	1328	2	0	next
65	Picture	fixation	463927	0	1	11291	3	0	next
66	Response	200	466772	-8446	940
66	Response	200	466772	-8446	940
66	Picture	44	475218	0	2	1328	4	0	next
67	Picture	fixation	476546	0	2	11956	5	0	next
68	Picture	44	488502	0	3	1328	4	0	next
69	Picture	fixation	489830	0	1	10295	2	0	next
70	Picture	43	500125	0	1	1328	2	0	next
71	Picture	fixation	501453	0	1	11291	3	0	next
72	Picture	fixation	512744	0	2	1328	4	0	next
73	Picture	fixation	514072	0	2	11291	4	0	next
74	Picture	43	525363	0	2	1163	3	0	next
75	Picture	fixation	526526	0	1	11291	2	0	next
76	Picture	43	537817	0	1	1162	3	0	next
77	Picture	fixation	538979	0	2	11457	4	0	next
78	Picture	43	550436	0	2	996	4	0	next
79	Picture	fixation	551432	0	2	11457	5	0	next
80	Picture	44	562889	0	3	1163	4	0	next
81	Picture	fixation	564052	0	1	11125	2	0	next
82	Picture	44	575177	0	1	1328	3	0	next
83	Picture	fixation	576505	0	2	11125	4	0	next
84	Picture	fixation	587630	0	2	2159	3	0	next
85	Picture	fixation	589789	0	1	10294	4	0	next
86	Picture	43	600083	0	3	1329	4	0	next
87	Picture	fixation	601412	0	1	11457	2	0	next
88	Picture	43	612869	0	1	1328	3	0	next
89	Picture	fixation	614197	0	2	11457	4	0	next
90	Picture	44	625654	0	2	1163	3	0	next
91	Picture	fixation	626817	0	1	11623	2	0	next
92	Picture	44	638440	0	1	1162	3	0	next
93	Picture	fixation	639602	0	2	11291	4	0	next
94	Picture	43	650893	0	2	1328	4	0	next
95	Picture	fixation	652221	0	2	10627	4	0	next
96	Picture	44	662848	0	2	1163	3	0	next
97	Picture	fixation	664011	0	1	11623	2	0	next
98	Picture	fixation	675634	0	1	1162	2	0	next
99	Picture	fixation	676796	0	1	11623	3	0	next
100	Picture	43	688419	0	2	1162	4	0	next
101	Picture	fixation	689581	0	2	10627	4	0	next
102	Picture	42	700208	0	2	1329	3	0	next
103	Picture	fixation	701537	0	1	11125	2	0	next
104	Picture	44	712662	0	1	1328	2	0	next
105	Picture	fixation	713990	0	1	11125	2	0	next
106	Picture	44	725115	0	1	1328	3	0	next
107	Picture	fixation	726443	0	2	11789	4	0	next
108	Response	200	728014	-10218	941
108	Picture	43	738232	0	2	1329	3	0	next
109	Picture	fixation	739561	0	1	10627	2	0	next
110	Picture	44	750188	0	1	1328	3	0	next
111	Picture	fixation	751516	0	2	11125	4	0	next
112	Picture	fixation	762641	0	2	1494	5	0	next
113	Picture	fixation	764135	0	3	10959	6	0	next
114	Picture	43	775094	0	3	1827	4	0	next
115	Picture	fixation	776921	0	1	10793	2	0	next
116	Picture	43	787714	0	1	1236	941	0	next
117	Picture	fixation	788950	0	940	11217	942	0	next
118	Picture	fixation	800167	0	2	1282	943	0	next
119	Picture	fixation	801449	0	941	11171	943	0	next
120	Picture	43	812620	0	2	1329	4	0	next
121	Picture	fixation	813949	0	2	11456	5	0	next
122	Picture	fixation	825405	0	3	1163	5	0	next
123	Picture	fixation	826568	0	2	11125	4	0	next
124	Picture	44	837693	0	2	1328	4	0	next
125	Picture	fixation	839021	0	2	11125	4	0	next
126	Picture	fixation	850146	0	2	1329	3	0	next
127	Picture	fixation	851475	0	1	11124	4	0	next
128	Picture	44	862599	0	3	1329	5	0	next
129	Picture	fixation	863928	0	2	11291	4	0	next
130	Picture	43	875219	0	2	1329	3	0	next
131	Picture	fixation	876548	0	1	11124	3	0	next
132	Picture	43	887672	0	2	1329	3	0	next
133	Picture	fixation	889001	0	1	11125	2	0	next
134	Picture	fixation	900126	0	1	1320	941	0	next
135	Picture	fixation	901446	0	940	11299	942	0	next
136	Picture	43	912745	0	2	1329	3	0	next
137	Picture	fixation	914074	0	1	11125	2	0	next
138	Picture	44	925199	0	1	1328	2	0	next
