Search results of TreeSize Professional


Custom Search

"Name","Path","Size","Last Change","Last Access","File Type","Owner","Attributes",
Class08_team1.exp,"C:\Class08\",8.8 KB,3/19/2008,4/9/2008,".exp (Presentation Experiment)","tineke","A",
Class08_team2.exp,"C:\Class08\",8.8 KB,3/19/2008,3/26/2008,".exp (Presentation Experiment)","tineke","A",
Class08_team3.exp,"C:\Class08\",6.0 KB,3/19/2008,3/26/2008,".exp (Presentation Experiment)","tineke","A",
Class08_team4.exp,"C:\Class08\",6.0 KB,3/19/2008,3/26/2008,".exp (Presentation Experiment)","tineke","A",
JoeFHC1.exp,"C:\JoeFH\",3.5 KB,2/12/2008,9/14/2010,".exp (Presentation Experiment)","kroberts","A",
JoeFHC2.exp,"C:\JoeFH\",3.4 KB,2/12/2008,10/22/2010,".exp (Presentation Experiment)","kroberts","A",
vistimetest.exp,"C:\Timingtests\",4.7 KB,1/28/2008,1/15/2010,".exp (Presentation Experiment)","kroberts.admin","A",
BabyTime.exp,"C:\BrannonLab\Baby Scenarios\",3.8 KB,4/11/2003,3/17/2008,".exp (Presentation Experiment)","kroberts","A",
babytimingtest.exp,"C:\BrannonLab\Baby Scenarios\",1.2 KB,5/9/2002,3/17/2008,".exp (Presentation Experiment)","kroberts","A",
TATIANA_BabyTime.exp,"C:\BrannonLab\Baby Scenarios\",2.4 KB,1/15/2003,3/17/2008,".exp (Presentation Experiment)","kroberts","A",
FastBlockDesign.exp,"C:\BrannonLab\FastNumHab ERP\",4.7 KB,11/26/2007,3/17/2008,".exp (Presentation Experiment)","kroberts","A",
numberexp.exp,"C:\BrannonLab\number adult new exp\",2.6 KB,7/22/2003,3/17/2008,".exp (Presentation Experiment)","kroberts","A",
AdultTimingFinished.exp,"C:\BrannonLab\OldBlocks\",2.1 KB,8/8/2001,3/17/2008,".exp (Presentation Experiment)","kroberts","A",
AdultTimingOct.exp,"C:\BrannonLab\PresentationFolder\",3.7 KB,7/26/2002,3/17/2008,".exp (Presentation Experiment)","kroberts","A",
BabyTime.exp,"C:\BrannonLab\PresentationFolder\",1.1 KB,11/2/2001,3/17/2008,".exp (Presentation Experiment)","kroberts","A",
Time650Test.exp,"C:\BrannonLab\Test\",1.0 KB,7/16/2001,3/17/2008,".exp (Presentation Experiment)","kroberts","A",
BrannonAdult.exp,"C:\BrannonLab\TimeX4\",2.6 KB,5/1/2003,3/17/2008,".exp (Presentation Experiment)","kroberts","A",
TimeX4adult.exp,"C:\BrannonLab\TimeX4\",2.7 KB,8/19/2003,3/17/2008,".exp (Presentation Experiment)","kroberts","A",
Class08.exp,"C:\Class08\Class08-fromZIP\",5.5 KB,3/18/2008,1/15/2010,".exp (Presentation Experiment)","tineke","A",
Proficiency.exp,"C:\davidp\NumProf\",5.3 KB,11/28/2007,9/3/2008,".exp (Presentation Experiment)","kroberts","A",
Proficiency1.exp,"C:\davidp\Proficiency1\",4.7 KB,11/11/2007,3/5/2009,".exp (Presentation Experiment)","kroberts","A",
ERP_fMRI_target_P3demo.exp,"C:\Nico\ERP_fMRI_target_P3demo\",7.8 KB,2/13/2009,2/16/2009,".exp (Presentation Experiment)","nboehler","A",
FHTso.exp,"C:\Nico\FHTso\",7.5 KB,3/30/2009,4/21/2009,".exp (Presentation Experiment)","aperalta","A",
Loc_grey.exp,"C:\Nico\Loc_grey\",6.6 KB,2/13/2009,3/13/2009,".exp (Presentation Experiment)","nboehler","A",
RT_Stop.exp,"C:\Nico\RT_STOP\",6.2 KB,2/24/2009,3/6/2009,".exp (Presentation Experiment)","nboehler","A",
SNStroop.exp,"C:\Nico\SNStroop\",8.2 KB,4/23/2009,12/16/2009,".exp (Presentation Experiment)","nboehler","A",
STOPStep.exp,"C:\Nico\StopStep\",6.4 KB,12/16/2009,12/16/2009,".exp (Presentation Experiment)","nboehler","A",
Dc2.exp,"C:\RECYCLER\S-1-5-21-811692012-638789158-311576647-2717\",5.4 KB,3/24/2008,8/19/2009,".exp (Presentation Experiment)","jharris","A",
Dc18.exp,"C:\RECYCLER\S-1-5-21-811692012-638789158-311576647-2769\",1.0 KB,4/4/2002,6/15/2007,".exp (Presentation Experiment)","sdonohue","A",
Dc100.exp,"C:\RECYCLER\S-1-5-21-811692012-638789158-311576647-7651\",6.5 KB,10/23/2009,10/23/2009,".exp (Presentation Experiment)","rkrebs","A",
Dc99.exp,"C:\RECYCLER\S-1-5-21-811692012-638789158-311576647-7651\",6.1 KB,10/23/2009,10/23/2009,".exp (Presentation Experiment)","rkrebs","A",
Dc4.exp,"C:\RECYCLER\S-1-5-21-811692012-638789158-311576647-7736\",5.2 KB,9/16/2008,9/29/2009,".exp (Presentation Experiment)","jgreen","A",
AB.exp,"C:\Tasks\AAB\",7.2 KB,8/19/2009,8/19/2009,".exp (Presentation Experiment)","amcmahon","A",
JoeFHC2.exp,"C:\Tasks\AAB\",3.7 KB,10/27/2006,8/21/2009,".exp (Presentation Experiment)","amcmahon","A",
RSVP_face_house_2popout.exp,"C:\Tasks\FaceHouse_RSVP_2pop\",12.4 KB,6/24/2008,9/4/2009,".exp (Presentation Experiment)","libertus","A",
FastBlockDesign2.exp,"C:\Tasks\FastNumHab2\",6.9 KB,6/10/2008,6/10/2008,".exp (Presentation Experiment)","libertus","A",
FastNumHab3.exp,"C:\Tasks\FastNumHab3\",8.5 KB,10/23/2008,6/3/2009,".exp (Presentation Experiment)","libertus","A",
FastNumHab4.exp,"C:\Tasks\FastNumHab4\",6.9 KB,6/18/2009,8/5/2009,".exp (Presentation Experiment)","libertus","A",
FlankerProbe_erp.exp,"C:\Tasks\Flanker_Probe\",23.6 KB,5/12/2010,6/24/2010,".exp (Presentation Experiment)","wchen","A",
FlankerProbe_erp.exp,"C:\Tasks\Flanker_Probe2.0\",25.7 KB,6/21/2010,6/24/2010,".exp (Presentation Experiment)","wchen","A",
FlankerProbe_erp.exp,"C:\Tasks\Flanker_Probe3.0\",35.2 KB,7/28/2010,7/28/2010,".exp (Presentation Experiment)","wchen","A",
FRCue01C_EEG.exp,"C:\Tasks\FRCUE01C\",6.4 KB,9/10/2009,9/10/2009,".exp (Presentation Experiment)","tineke","A",
AB.exp,"C:\Tasks\JAAB\",7.0 KB,9/4/2009,12/4/2010,".exp (Presentation Experiment)","jharris","A",
AB_CAT.exp,"C:\Tasks\JAAB\",7.1 KB,9/23/2009,6/8/2010,".exp (Presentation Experiment)","jharris","A",
JAAB.exp,"C:\Tasks\JAAB\",7.8 KB,6/8/2010,6/8/2010,".exp (Presentation Experiment)","jharris","A",
JoeFHC2.exp,"C:\Tasks\JAAB\",3.7 KB,10/27/2006,5/19/2010,".exp (Presentation Experiment)","jharris","A",
JOSM.exp,"C:\Tasks\OSM\",12.0 KB,8/12/2010,8/12/2010,".exp (Presentation Experiment)","jharris","A",
OSM.exp,"C:\Tasks\OSM\",5.2 KB,3/10/2010,4/3/2010,".exp (Presentation Experiment)","jharris","A",
OSM_Class.exp,"C:\Tasks\OSM\",10.3 KB,4/3/2010,6/14/2010,".exp (Presentation Experiment)","jharris","A",
RStroop5050.exp,"C:\Tasks\ReverseStroop_5050\",12.7 KB,2/18/2009,3/2/2010,".exp (Presentation Experiment)","lad22","A",
Solange.exp,"C:\Tasks\Solange\",5.6 KB,10/25/2010,12/9/2010,".exp (Presentation Experiment)","jharris","A",
Solange17.exp,"C:\Tasks\Solange\",5.7 KB,11/1/2010,12/5/2010,".exp (Presentation Experiment)","jharris","A",
kait_ColorPopout.exp,"C:\Tasks\VG_Training\",12.4 KB,4/17/2009,10/2/2009,".exp (Presentation Experiment)","greg","A",
kait_ColorPopout_LGA.exp,"C:\Tasks\VG_Training\",11.3 KB,10/2/2009,10/2/2009,".exp (Presentation Experiment)","kclark","A",
AdultTimingFinal.exp,"C:\BrannonLab\OldBlocks\OldBlocks\",1.7 KB,7/24/2001,3/17/2008,".exp (Presentation Experiment)","kroberts","A",
TimeAdultPilot.exp,"C:\BrannonLab\TimeX4\ChipsTimeX3\",1.1 KB,3/7/2002,3/17/2008,".exp (Presentation Experiment)","kroberts","A",
TOJExperiment.exp,"C:\experiments\donohue\TOJ_Experiment\",5.2 KB,9/25/2008,3/9/2009,".exp (Presentation Experiment)","sdonohue","A",
BabyTresholdTest.exp,"C:\experiments\helen_zhang\Staircase\",1.2 KB,11/7/2001,12/9/2010,".exp (Presentation Experiment)","hhz2","A",
Hearing_Threshold.exp,"C:\experiments\helen_zhang\Staircase\",5.6 KB,11/7/2008,12/10/2010,".exp (Presentation Experiment)","hhz2","A",
GrinAtt.exp,"C:\Nico\GrinAtt\scenarios\",7.8 KB,11/20/2009,11/20/2009,".exp (Presentation Experiment)","rkrebs","A",
GrinAtt_oneLoc.exp,"C:\Nico\GrinAtt_oneLoc\scenarios\",6.9 KB,12/16/2009,12/16/2009,".exp (Presentation Experiment)","nboehler","A",
GrinAtt_oneLoc_3cues.exp,"C:\Nico\GrinAtt_oneLoc_3cues\scenarios\",9.6 KB,1/15/2010,1/15/2010,".exp (Presentation Experiment)","nboehler","A",
STOP_fMRI2_training.exp,"C:\Nico\StopStep\training\",5.6 KB,11/11/2008,12/16/2009,".exp (Presentation Experiment)","nboehler","A",
AB.exp,"C:\RECYCLER\S-1-5-21-811692012-638789158-311576647-2717\Dc16\",6.4 KB,7/31/2009,7/31/2009,".exp (Presentation Experiment)","jharris","A",
JoeFHC2.exp,"C:\RECYCLER\S-1-5-21-811692012-638789158-311576647-2717\Dc16\",3.7 KB,10/27/2006,7/31/2009,".exp (Presentation Experiment)","jharris","A",
AB.exp,"C:\RECYCLER\S-1-5-21-811692012-638789158-311576647-2717\Dc17\",6.5 KB,8/4/2009,8/4/2009,".exp (Presentation Experiment)","jharris","A",
JoeFHC2.exp,"C:\RECYCLER\S-1-5-21-811692012-638789158-311576647-2717\Dc17\",3.7 KB,10/27/2006,8/3/2009,".exp (Presentation Experiment)","jharris","A",
AVFaceHouses01.exp,"C:\RECYCLER\S-1-5-21-811692012-638789158-311576647-2769\Dc225\",12.1 KB,3/4/2009,3/4/2009,".exp (Presentation Experiment)","sdonohue","A",
pilot_StRewA.exp,"C:\RECYCLER\S-1-5-21-811692012-638789158-311576647-7651\Dc232\",6.2 KB,11/9/2009,11/9/2009,".exp (Presentation Experiment)","rkrebs","A",
pilot_StRewC.exp,"C:\RECYCLER\S-1-5-21-811692012-638789158-311576647-7651\Dc232\",6.2 KB,11/9/2009,11/9/2009,".exp (Presentation Experiment)","rkrebs","A",
